,DATE,RATE,CHANGE,ACTION
0,1982-10-05,10.0,,
1,1982-11-16,9.5,-0.5,LOWER
2,1982-12-21,8.5,-1.0,LOWER
3,1983-01-14,8.5,0.0,KEEP
4,1983-01-21,8.5,0.0,KEEP
5,1983-01-28,8.5,0.0,KEEP
6,1983-02-09,8.5,0.0,KEEP
7,1983-03-29,8.5,0.0,KEEP
8,1983-04-29,8.625,0.125,RAISE
9,1983-05-24,8.625,0.0,KEEP
10,1983-06-23,8.75,0.125,RAISE
11,1983-07-13,9.0,0.25,RAISE
12,1983-08-23,9.5,0.5,RAISE
13,1983-09-08,9.5,0.0,KEEP
14,1983-10-04,9.375,-0.125,LOWER
15,1983-11-15,9.375,0.0,KEEP
16,1983-12-20,9.375,0.0,KEEP
17,1984-01-31,9.375,0.0,KEEP
18,1984-03-20,9.375,0.0,KEEP
19,1984-03-27,9.375,0.0,KEEP
20,1984-05-22,10.5,1.125,RAISE
21,1984-07-17,11.0,0.5,RAISE
22,1984-08-21,11.5,0.5,RAISE
23,1984-10-02,11.0,-0.5,LOWER
24,1984-11-07,10.0,-1.0,LOWER
25,1984-12-18,8.75,-1.25,LOWER
26,1985-01-18,8.125,-0.625,LOWER
27,1985-02-13,8.25,0.125,RAISE
28,1985-03-26,8.375,0.125,RAISE
29,1985-05-21,7.75,-0.625,LOWER
30,1985-07-10,7.75,0.0,KEEP
31,1985-08-20,7.75,0.0,KEEP
32,1985-09-23,8.0,0.25,RAISE
33,1985-10-01,8.0,0.0,KEEP
34,1985-11-05,8.0,0.0,KEEP
35,1985-12-17,8.0,0.0,KEEP
36,1986-02-12,7.75,-0.25,LOWER
37,1986-04-01,7.25,-0.5,LOWER
38,1986-04-21,6.75,-0.5,LOWER
39,1986-05-20,6.75,0.0,KEEP
40,1986-07-09,6.875,0.125,RAISE
41,1986-08-19,6.375,-0.5,LOWER
42,1986-09-23,5.875,-0.5,LOWER
43,1986-11-05,5.875,0.0,KEEP
44,1986-12-16,5.875,0.0,KEEP
45,1987-02-11,6.0,0.125,RAISE
46,1987-02-23,6.0,0.0,KEEP
47,1987-03-31,6.0,0.0,KEEP
48,1987-04-29,6.0,0.0,KEEP
49,1987-05-19,6.5,0.5,RAISE
50,1987-07-07,6.625,0.125,RAISE
51,1987-08-18,6.625,0.0,KEEP
52,1987-09-22,7.25,0.625,RAISE
53,1987-10-19,7.3125,0.0625,RAISE
54,1987-10-20,7.3125,0.0,KEEP
55,1987-10-21,7.3125,0.0,KEEP
56,1987-10-22,7.3125,0.0,KEEP
57,1987-10-23,7.3125,0.0,KEEP
58,1987-10-26,7.3125,0.0,KEEP
59,1987-10-27,7.3125,0.0,KEEP
60,1987-10-28,7.3125,0.0,KEEP
61,1987-10-29,7.3125,0.0,KEEP
62,1987-10-30,7.3125,0.0,KEEP
63,1987-11-03,7.3125,0.0,KEEP
64,1987-12-16,6.8125,-0.5,LOWER
65,1988-01-05,6.8125,0.0,KEEP
66,1988-02-10,6.625,-0.1875,LOWER
67,1988-03-29,6.5,-0.125,LOWER
68,1988-05-17,7.0,0.5,RAISE
69,1988-06-30,7.4375,0.4375,RAISE
70,1988-07-19,7.6875,0.25,RAISE
71,1988-08-16,8.125,0.4375,RAISE
72,1988-09-20,8.125,0.0,KEEP
73,1988-10-17,8.125,0.0,KEEP
74,1988-11-01,8.125,0.0,KEEP
75,1988-11-22,8.375,0.25,RAISE
76,1988-12-14,8.375,0.0,KEEP
77,1989-02-08,9.0,0.625,RAISE
78,1989-03-28,9.75,0.75,RAISE
79,1989-05-16,9.75,0.0,KEEP
80,1989-05-31,9.8125,0.0625,RAISE
81,1989-06-05,9.8125,0.0,KEEP
82,1989-07-06,9.5625,-0.25,LOWER
83,1989-07-26,9.3125,-0.25,LOWER
84,1989-08-22,9.0625,-0.25,LOWER
85,1989-10-03,9.0625,0.0,KEEP
86,1989-10-16,9.0625,0.0,KEEP
87,1989-10-17,9.0625,0.0,KEEP
88,1989-10-18,9.0625,0.0,KEEP
89,1989-11-14,8.5,-0.5625,LOWER
90,1989-12-19,8.5,0.0,KEEP
91,1990-02-07,8.25,-0.25,LOWER
92,1990-03-27,8.25,0.0,KEEP
93,1990-04-11,8.25,0.0,KEEP
94,1990-05-15,8.25,0.0,KEEP
95,1990-07-03,8.25,0.0,KEEP
96,1990-08-21,8.0,-0.25,LOWER
97,1990-09-07,8.0,0.0,KEEP
98,1990-09-17,8.0,0.0,KEEP
99,1990-10-02,8.0,0.0,KEEP
100,1990-11-13,7.75,-0.25,LOWER
101,1990-12-07,7.25,-0.5,LOWER
102,1990-12-18,7.25,0.0,KEEP
103,1991-01-09,6.75,-0.5,LOWER
104,1991-02-01,6.25,-0.5,LOWER
105,1991-02-06,6.25,0.0,KEEP
106,1991-03-26,6.0,-0.25,LOWER
107,1991-04-12,6.0,0.0,KEEP
108,1991-04-30,5.75,-0.25,LOWER
109,1991-05-01,5.75,0.0,KEEP
110,1991-05-14,5.75,0.0,KEEP
111,1991-06-10,5.75,0.0,KEEP
112,1991-06-24,5.75,0.0,KEEP
113,1991-07-03,5.75,0.0,KEEP
114,1991-08-05,5.75,0.0,KEEP
115,1991-08-20,5.5,-0.25,LOWER
116,1991-09-13,5.25,-0.25,LOWER
117,1991-10-01,5.25,0.0,KEEP
118,1991-10-30,5.25,0.0,KEEP
119,1991-11-05,5.0,-0.25,LOWER
120,1991-12-02,4.75,-0.25,LOWER
121,1991-12-17,4.5,-0.25,LOWER
122,1992-01-09,4.0,-0.5,LOWER
123,1992-02-05,4.0,0.0,KEEP
124,1992-03-11,4.0,0.0,KEEP
125,1992-03-31,4.0,0.0,KEEP
126,1992-05-19,3.75,-0.25,LOWER
127,1992-07-01,3.75,0.0,KEEP
128,1992-07-02,3.25,-0.5,LOWER
129,1992-08-18,3.25,0.0,KEEP
130,1992-10-06,3.0,-0.25,LOWER
131,1992-11-17,3.0,0.0,KEEP
132,1992-12-14,3.0,0.0,KEEP
133,1992-12-22,3.0,0.0,KEEP
134,1993-01-06,3.0,0.0,KEEP
135,1993-02-03,3.0,0.0,KEEP
136,1993-02-18,3.0,0.0,KEEP
137,1993-03-01,3.0,0.0,KEEP
138,1993-03-23,3.0,0.0,KEEP
139,1993-05-18,3.0,0.0,KEEP
140,1993-07-07,3.0,0.0,KEEP
141,1993-08-17,3.0,0.0,KEEP
142,1993-09-21,3.0,0.0,KEEP
143,1993-10-05,3.0,0.0,KEEP
144,1993-10-15,3.0,0.0,KEEP
145,1993-10-22,3.0,0.0,KEEP
