,date
0,1936-03-18
1,1936-03-19
2,1936-05-25
3,1936-11-19
4,1936-11-20
5,1937-01-26
6,1937-03-15
7,1937-04-04
8,1937-05-05
9,1937-06-09
10,1937-09-12
11,1937-12-01
12,1938-03-01
13,1938-04-22
14,1938-04-29
15,1938-08-02
16,1938-09-21
17,1938-12-30
18,1939-03-07
19,1939-03-20
20,1939-04-19
21,1939-06-21
22,1939-09-18
23,1939-12-13
24,1940-03-20
25,1940-05-28
26,1940-09-27
27,1940-12-18
28,1941-03-17
29,1941-06-10
30,1941-09-27
31,1941-12-12
32,1942-02-28
33,1942-03-02
34,1942-05-08
35,1942-06-22
36,1942-08-03
37,1942-09-29
38,1942-12-14
39,1943-01-26
40,1943-03-02
41,1943-05-15
42,1943-06-28
43,1943-10-18
44,1944-02-29
45,1944-03-01
46,1944-05-04
47,1944-09-22
48,1944-12-11
49,1945-02-28
50,1945-03-01
51,1945-06-20
52,1945-10-17
53,1946-02-28
54,1946-03-01
55,1946-06-10
56,1946-10-03
57,1947-02-28
58,1947-03-01
59,1947-06-06
60,1947-10-07
61,1947-12-09
62,1948-02-27
63,1948-03-01
64,1948-05-20
65,1948-10-04
66,1948-11-15
67,1948-11-30
68,1949-02-28
69,1949-03-01
70,1949-05-03
71,1949-06-28
72,1949-08-05
73,1949-12-13
74,1950-02-28
75,1950-03-01
76,1950-06-14
77,1950-08-18
78,1950-09-28
79,1950-10-11
80,1950-10-30
81,1950-11-27
82,1951-01-31
83,1951-02-08
84,1951-03-02
85,1951-03-08
86,1951-05-17
87,1951-10-04
88,1951-11-14
89,1952-02-29
90,1952-03-01
91,1952-06-19
92,1952-09-25
93,1952-12-08
94,1953-03-05
95,1953-06-11
96,1953-09-24
97,1953-12-15
98,1954-03-03
99,1954-06-23
100,1954-09-22
101,1954-12-07
102,1955-01-11
103,1955-03-02
104,1955-05-10
105,1955-06-22
106,1955-07-12
107,1955-08-02
108,1955-08-23
109,1955-09-14
110,1955-09-26
111,1955-10-04
112,1955-10-25
113,1955-11-16
114,1955-11-30
115,1955-12-08
116,1955-12-13
117,1956-01-10
118,1956-01-24
119,1956-02-15
120,1956-03-06
121,1956-03-27
122,1956-04-17
123,1956-04-18
124,1956-05-09
125,1956-05-23
126,1956-06-05
127,1956-06-26
128,1956-07-17
129,1956-08-07
130,1956-08-21
131,1956-09-11
132,1956-09-25
133,1956-10-16
134,1956-11-13
135,1956-11-27
136,1956-12-10
137,1957-01-08
138,1957-01-28
139,1957-02-18
140,1957-03-05
141,1957-03-26
142,1957-04-16
143,1957-04-24
144,1957-05-07
145,1957-05-28
146,1957-06-18
147,1957-07-09
148,1957-07-30
149,1957-08-20
150,1957-09-10
151,1957-10-01
152,1957-10-22
153,1957-11-12
154,1957-12-03
155,1957-12-17
156,1958-01-07
157,1958-01-28
158,1958-02-11
159,1958-03-04
160,1958-03-25
161,1958-04-15
162,1958-05-06
163,1958-05-27
164,1958-06-17
165,1958-07-08
166,1958-07-15
167,1958-07-18
168,1958-07-21
169,1958-07-22
170,1958-07-23
171,1958-07-24
172,1958-07-25
173,1958-07-29
174,1958-07-30
