date,statement
2007-01-31,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Recent indicators have suggested somewhat firmer economic growth, and some tentative signs of stabilization have appeared in the housing market. Overall, the economy seems likely to expand at a moderate pace over coming quarters. Readings on core inflation have improved modestly in recent months, and inflation pressures seem likely to moderate over time. However, the high level of resource utilization has the potential to sustain inflation pressures. The Committee judges that some inflation risks remain. The extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information."
2007-03-21,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Recent indicators have been mixed and the adjustment in the housing sector is ongoing. Nevertheless, the economy seems likely to continue to expand at a moderate pace over coming quarters. Recent readings on core inflation have been somewhat elevated. Although inflation pressures seem likely to moderate over time, the high level of resource utilization has the potential to sustain those pressures. In these circumstances, the Committee's predominant policy concern remains the risk that inflation will fail to moderate as expected. Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information."
2007-05-09,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Economic growth slowed in the first part of this year and the adjustment in the housing sector is ongoing. Nevertheless, the economy seems likely to expand at a moderate pace over coming quarters. Core inflation remains somewhat elevated. Although inflation pressures seem likely to moderate over time, the high level of resource utilization has the potential to sustain those pressures. In these circumstances, the Committee's predominant policy concern remains the risk that inflation will fail to moderate as expected. Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information."
2007-08-07,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Economic growth was moderate during the first half of the year. Financial markets have been volatile in recent weeks, credit conditions have become tighter for some households and businesses, and the housing correction is ongoing. Nevertheless, the economy seems likely to continue to expand at a moderate pace over coming quarters, supported by solid growth in employment and incomes and a robust global economy. Readings on core inflation have improved modestly in recent months. However, a sustained moderation in inflation pressures has yet to be convincingly demonstrated. Moreover, the high level of resource utilization has the potential to sustain those pressures. Although the downside risks to growth have increased somewhat, the Committee's predominant policy concern remains the risk that inflation will fail to moderate as expected. Future policy adjustments will depend on the outlook for both inflation and economic growth, as implied by incoming information."
2007-08-10,"The Federal Reserve is providing liquidity to facilitate the orderly functioning of financial markets. The Federal Reserve will provide reserves as necessary through open market operations to promote trading in the federal funds market at rates close to the Federal Open Market Committee's target rate of 5-1/4 percent. In current circumstances, depository institutions may experience unusual funding needs because of dislocations in money and credit markets. As always, the discount window is available as a source of funding."
2007-09-18,"The Federal Open Market Committee decided today to lower its target for the federal funds rate 50 basis points to 4-3/4 percent. Economic growth was moderate during the first half of the year, but the tightening of credit conditions has the potential to intensify the housing correction and to restrain economic growth more generally.  Today’s action is intended to help forestall some of the adverse effects on the broader economy that might otherwise arise from the disruptions in financial markets and to promote moderate growth over time. Readings on core inflation have improved modestly this year.  However, the Committee judges that some inflation risks remain, and it will continue to monitor inflation developments carefully. Developments in financial markets since the Committee’s last regular meeting have increased the uncertainty surrounding the economic outlook.  The Committee will continue to assess the effects of these and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth. In a related action, the Board of Governors unanimously approved a 50-basis-point decrease in the discount rate to 5-1/4 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Cleveland, St. Louis, Minneapolis, Kansas City, and San Francisco."
2007-10-31,"The Federal Open Market Committee decided today to lower its target for the federal funds rate 25 basis points to 4-1/2 percent. Economic growth was solid in the third quarter, and strains in financial markets have eased somewhat on balance.  However, the pace of economic expansion will likely slow in the near term, partly reflecting the intensification of the housing correction.  Today’s action, combined with the policy action taken in September, should help forestall some of the adverse effects on the broader economy that might otherwise arise from the disruptions in financial markets and promote moderate growth over time. Readings on core inflation have improved modestly this year, but recent increases in energy and commodity prices, among other factors, may put renewed upward pressure on inflation.  In this context, the Committee judges that some inflation risks remain, and it will continue to monitor inflation developments carefully. The Committee judges that, after this action, the upside risks to inflation roughly balance the downside risks to growth.  The Committee will continue to assess the effects of financial and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth. In a related action, the Board of Governors unanimously approved a 25-basis-point decrease in the discount rate to 5 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, Richmond, Atlanta, Chicago, St. Louis, and San Francisco."
2007-12-11,"The Federal Open Market Committee decided today to lower its target for the federal funds rate 25 basis points to 4-1/4 percent. Incoming information suggests that economic growth is slowing, reflecting the intensification of the housing correction and some softening in business and consumer spending. Moreover, strains in financial markets have increased in recent weeks.  Today’s action, combined with the policy actions taken earlier, should help promote moderate growth over time. Readings on core inflation have improved modestly this year, but elevated energy and commodity prices, among other factors, may put upward pressure on inflation.  In this context, the Committee judges that some inflation risks remain, and it will continue to monitor inflation developments carefully. Recent developments, including the deterioration in financial market conditions, have increased the uncertainty surrounding the outlook for economic growth and inflation.  The Committee will continue to assess the effects of financial and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth. In a related action, the Board of Governors unanimously approved a 25-basis-point decrease in the discount rate to 4-3/4 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, and St. Louis."
2008-01-30,"The Federal Open Market Committee decided today to lower its target for the federal funds rate 50 basis points to 3 percent. Financial markets remain under considerable stress, and credit has tightened further for some businesses and households.  Moreover, recent information indicates a deepening of the housing contraction as well as some softening in labor markets. The Committee expects inflation to moderate in coming quarters, but it will be necessary to continue to monitor inflation developments carefully. Today’s policy action, combined with those taken earlier, should help to promote moderate growth over time and to mitigate the risks to economic activity.  However, downside risks to growth remain.  The Committee will continue to assess the effects of financial and other developments on economic prospects and will act in a timely manner as needed to address those risks. In a related action, the Board of Governors unanimously approved a 50-basis-point decrease in the discount rate to 3-1/2 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Atlanta, Chicago, St. Louis, Kansas City, and San Francisco."
2008-03-10,"On March 10, 2008, the Federal Reserve will offer $50 billion in 28-day credit through its Term Auction Facility.  Additional information regarding the auction is listed below; the auction will be conducted as specified in this announcement, Regulation A, and the terms and conditions of the Term Auction Facility (www.federalreserve.gov/monetarypolicy/taf.htm). Description of Offering and Auction Parameters Offering Amount: $50 billion Term: 28-day loan Bid Submission Date: March 10, 2008 Opening Time: 11 a.m. EDT Closing Time: 1 p.m. EDT Notification Date: March 11, 2008 Settlement Date: March 13, 2008 Maturity Date: April 10, 2008 Minimum Bid Amount (per bid): $5 million Bid Increment: $100,000 Maximum Bid Amount (per institution): $5 billion (10% of Offering Amount) Minimum Bid Rate: 2.39 percent Incremental Bid Rate: 0.001 percent Minimum Award: $10,000 Maximum Award: $5 billion (10% of Offering Amount) Submission of BidsParticipants must submit bids by phone to their local Reserve Bank between the opening time and closing time on the bid submission date. NotificationSummary auction results will be published on the website of the Board of Governors of the Federal Reserve System (www.federalreserve.gov/monetarypolicy/taf.htm) at approximately 10:00 a.m. EDT on the notification date.  Between 10:00 a.m. and noon EDT on the notification date, Reserve Banks will notify individual institutions in their districts that have submitted winning bids of their awards.  Participants have until 3:00 p.m. EDT on the notification date to inform their local Reserve Bank of any error. Rounding ConventionPro rata awards will be rounded to multiples of $10,000.  Normal rounding convention will be used, except that awards under $10,000 will be rounded to $10,000."
